medianame	source_url	domain	country	bias	factual
Techdirt	https://www.techdirt.com	www.techdirt.com	USA	leftcenter	high
World News Politics	https://www.worldnewspolitics.com/	www.worldnewspolitics.com	None	extremeright	questionable source
Crime Prevention Research Center	https://crimeresearch.org/	crimeresearch.org	USA	right	mixed
The Millennial Review	https://themilreview.com/	themilreview.com	None	right	high
Institute for Policy Studies	http://www.ips-dc.org	www.ips-dc.org	None	left	high
Illegal Alien Crime Report	https://www.illegalaliencrimereport.com	www.illegalaliencrimereport.com	USA	extremeright	None
TriggerReset	https://triggerreset.net	triggerreset.net	None	extremeright	questionable source
Alliance Defending Freedom	https://www.adflegal.org/	www.adflegal.org	USA	extremeright	low
Alliance for Justice (AFJ)	https://www.afj.org/	www.afj.org	USA	left	high
The Humanist Magazine	https://thehumanist.com/	thehumanist.com	None	center	high
The Monthly (Australia)	https://www.themonthly.com.au/	www.themonthly.com.au	None	leftcenter	high
Mondoweiss	http://mondoweiss.net/	mondoweiss.net	None	left	high
The Liberty Daily	None	None	USA	extremeright	mixed
Left Side of History	http://www.leftsideofhistory.com/	www.leftsideofhistory.com	None	left	mixed
Clean Technica	https://cleantechnica.com/	cleantechnica.com	None	leftcenter	very high
Center for Strategic and International Studies	https://www.csis.org/	www.csis.org	USA	center	very high
AllGov	http://www.allgov.com	www.allgov.com	USA	leftcenter	high
St. Louis Post-Dispatch	http://www.stltoday.com/	www.stltoday.com	None	leftcenter	high
Casper Star-Tribune	https://trib.com/	trib.com	USA	center	high
Jewish Telegraphic Agency (JTA)	http://www.jta.org	www.jta.org	USA	center	high
American Truth Today	https://americantruthtoday.com/	americantruthtoday.com	USA	extremeright	low
Washington Times	https://www.washingtontimes.com/	www.washingtontimes.com	USA	rightcenter	mixed
Vanity Fair	https://www.vanityfair.com	www.vanityfair.com	USA	left	mostly factual
The Citizen Press	https://thecitizenpress.com	thecitizenpress.com	None	right	mixed
Judicial Crisis Network	https://judicialnetwork.com/	judicialnetwork.com	None	right	mixed
EconomicPolicyJournal.com	http://www.economicpolicyjournal.com	www.economicpolicyjournal.com	USA	right	high
Dissent Magazine	https://www.dissentmagazine.org/	www.dissentmagazine.org	USA	left	high
North99	https://north99.org/	north99.org	Canada	left	mixed
Washingtonian	https://www.washingtonian.com	www.washingtonian.com	USA	left	high
Middle American Democrat	https://middleamericandemocrat.com	middleamericandemocrat.com	USA	extremeleft	None
WikiNews	https://en.wikinews.org/wiki/Main_Page	en.wikinews.org	None	center	high
Bbarta24	http://en.bbarta24.net/	en.bbarta24.net	None	center	high
Grand Rapids Press	http://www.mlive.com/grand-rapids/#/0	www.mlive.com	USA	rightcenter	high
Lyin' Comey	https://www.lyincomey.com/	www.lyincomey.com	None	right	mixed
DW News	http://www.dw.com/en/top-stories/s-9097	www.dw.com	Germany	leftcenter	high
Philadelphia Tribune	None	None	USA	leftcenter	high
Viral Title	http://viraltitle.com	viraltitle.com	Panama	left	mixed
AltRight.com	https://altright.com/	altright.com	USA	extremeright	low
Journal of Politics and Society	http://www.helvidius.org/	www.helvidius.org	USA	leftcenter	very high
The American Independent Institute	https://americanindependent.com/	americanindependent.com	USA	left	mostly factual
National Rifle Association (NRA)	https://home.nra.org/	home.nra.org	USA	right	mixed
Newsbusters	https://www.newsbusters.org/	www.newsbusters.org	USA	right	mixed
First Coast News	https://www.firstcoastnews.com/	www.firstcoastnews.com	USA	center	mostly factual
Politifact News	http://www.politifact.news/	www.politifact.news	None	extremeright	questionable source
Crooks and Liars	https://crooksandliars.com	crooksandliars.com	USA	left	mostly factual
EarthJustice	https://earthjustice.org	earthjustice.org	USA	leftcenter	high
The Observatory	https://observatory.journalism.wisc.edu/	observatory.journalism.wisc.edu	None	center	high
TechCrunch	https://techcrunch.com	techcrunch.com	None	leftcenter	high
American Action News	https://americanactionnews.com/	americanactionnews.com	USA	right	mixed
Constitution Daily	https://constitutioncenter.org	constitutioncenter.org	USA	center	high
Daily Maverick	https://www.dailymaverick.co.za/	www.dailymaverick.co.za	South Africa	center	high
Electoral-Vote.com	https://www.electoral-vote.com	www.electoral-vote.com	Netherlands	left	high
Fast Company Magazine	https://www.fastcompany.com/	www.fastcompany.com	USA	leftcenter	high
Patriot News Alerts	https://www.patriotnewsalerts.com	www.patriotnewsalerts.com	USA	right	mixed
Daily Sabah	https://www.dailysabah.com/	www.dailysabah.com	None	right	mixed
VivaLiberty	http://www.vivaliberty.com/	www.vivaliberty.com	None	right	mixed
Real News Network	https://therealnews.com/	therealnews.com	USA	left	high
SFGate	http://www.sfgate.com/	www.sfgate.com	None	leftcenter	high
Greenville Gazette	http://www.greenvillegazette.com/	www.greenvillegazette.com	None	left	low
The Canadian Press	http://www.thecanadianpress.com/	www.thecanadianpress.com	None	center	high
AlterNet	https://www.alternet.org/	www.alternet.org	USA	left	mixed
El Pais	http://elpais.com/elpais/inenglish.html	elpais.com	None	leftcenter	high
Sciencing	https://sciencing.com/	sciencing.com	USA	leftcenter	high
iPatriot	http://ipatriot.com	ipatriot.com	None	right	mixed
The Sun	https://www.thesun.co.uk/	www.thesun.co.uk	United Kingdom	right	mixed
Inside Philanthropy	https://www.insidephilanthropy.com	www.insidephilanthropy.com	None	leftcenter	high
The Times Herald (Port Huron)	https://www.thetimesherald.com	www.thetimesherald.com	USA	rightcenter	high
Opposition Report	http://oppositionreport.com	oppositionreport.com	USA	extremeleft	questionable source
The Trace	https://www.thetrace.org	www.thetrace.org	None	leftcenter	high
Blue State Daily	https://bluestatedaily.com	bluestatedaily.com	USA	left	mixed
Keep and Bear	https://keepandbear.com	keepandbear.com	None	right	high
The Nation	https://www.thenation.com/	www.thenation.com	USA	left	high
Justice Denied	http://justicedenied.org	justicedenied.org	USA	center	high
Nature Conservancy	https://www.nature.org	www.nature.org	USA	leftcenter	high
The Independent Review	http://www.independent.org/	www.independent.org	None	rightcenter	high
Pro-America News	http://www.proamericanews.com/	www.proamericanews.com	None	extremeright	questionable source
The Colorado Sun	https://coloradosun.com/	coloradosun.com	USA	leftcenter	high
Illicit Info	https://illicitinfo.com	illicitinfo.com	USA	extremeright	questionable source
Thrillist	https://www.thrillist.com	www.thrillist.com	USA	leftcenter	high
Right Wing Tribune	None	None	USA	extremeright	questionable source
Hill Reporter	https://hillreporter.com	hillreporter.com	USA	left	high
SurvivalBlog.com	https://survivalblog.com/	survivalblog.com	USA	extremeright	None
Law360	https://www.law360.com/	www.law360.com	USA	center	high
Red Ice TV	https://redice.tv/	redice.tv	Sweden	extremeright	None
City Journal	https://www.city-journal.org	www.city-journal.org	USA	right	mostly factual
US Postman	http://uspostman.com/	uspostman.com	None	extremeright	questionable source
Alliance for Securing Democracy	https://securingdemocracy.gmfus.org/	securingdemocracy.gmfus.org	None	center	high
Factwire News Agency	https://www.factwire.org/english	www.factwire.org	None	center	high
RedStateWave	http://redstatewave.com	redstatewave.com	None	extremeright	questionable source
American Immigration Council	https://www.americanimmigrationcouncil.org	www.americanimmigrationcouncil.org	USA	leftcenter	high
Defense One	https://www.defenseone.com/	www.defenseone.com	USA	center	high
Louder With Crowder	https://www.louderwithcrowder.com	www.louderwithcrowder.com	USA	right	mixed
The Science News Reporter	https://www.thescinewsreporter.com	www.thescinewsreporter.com	Pakistan	None	mixed
ANX Media (American News X)	http://anx.media/	anx.media	USA	left	mixed
Act.TV	http://act.tv	act.tv	USA	left	mostly factual
Argus Leader	https://www.argusleader.com	www.argusleader.com	USA	rightcenter	high
Times-News (Idaho)	http://magicvalley.com/	magicvalley.com	USA	center	high
Breakingnews247.net	http://www.breakingnews247.net/	www.breakingnews247.net	Unknown	None	low
New Politics Today	https://www.newpoliticstoday.com/	www.newpoliticstoday.com	None	extremeright	questionable source
Electronic Frontier Foundation	https://www.eff.org/	www.eff.org	None	leftcenter	high
American Firearms Institute	http://www.americanfirearms.org	www.americanfirearms.org	None	rightcenter	high
WOFL Fox 35 Orlando	https://www.fox35orlando.com/	www.fox35orlando.com	USA	center	high
Current Affairs Magazine	https://www.currentaffairs.org/	www.currentaffairs.org	USA	left	high
The European Council on Foreign Relations (ECFR)	http://www.ecfr.eu/	www.ecfr.eu	None	leftcenter	high
Check Your Fact	https://checkyourfact.com/	checkyourfact.com	USA	rightcenter	high
Citizens for Legitimate Government (CLG News)	https://www.legitgov.org/	www.legitgov.org	None	leftcenter	mixed
Daily Sound and Fury	https://dailysoundandfury.com	dailysoundandfury.com	USA	left	mixed
Irish Independent	http://www.independent.ie/	www.independent.ie	None	rightcenter	high
Family Research Council	http://www.frc.org	www.frc.org	None	extremeright	low
Update America	https://www.updateamerica.com/	www.updateamerica.com	USA	right	mixed
Reed Cooper News	https://www.reedcooper.net	www.reedcooper.net	USA	extremeright	None
The Wilderness Society	http://wilderness.org/	wilderness.org	None	leftcenter	high
Amandla	http://aidc.org.za/amandla-media/	aidc.org.za	South Africa	left	high
Times of India	https://timesofindia.indiatimes.com	timesofindia.indiatimes.com	India	rightcenter	high
Blasting News	https://us.blastingnews.com	us.blastingnews.com	United Kingdom	center	high
Spectrum Report	http://spectrumreport.com	spectrumreport.com	None	center	mixed
Sons of 1776	https://sonsof1776.com/	sonsof1776.com	USA	extremeright	low
Verified Politics	http://verifiedpolitics.com	verifiedpolitics.com	USA	left	mixed
Mad World News	https://madworldnews.com/	madworldnews.com	USA	extremeright	low
World Population Review	http://worldpopulationreview.com/	worldpopulationreview.com	USA	center	high
First Draft News	https://firstdraftnews.org/	firstdraftnews.org	USA	center	high
American Society for the Defense of Tradition, Family, and Property	https://www.tfp.org/	www.tfp.org	USA	extremeright	low
Vanguard America	https://bloodandsoil.org/	bloodandsoil.org	None	extremeright	questionable source
Miami New Times	http://www.miaminewtimes.com/	www.miaminewtimes.com	None	left	high
The Politics Online	http://www.thepolitics.online	www.thepolitics.online	Unknown	extremeright	low
Sayfie Review	http://www.sayfiereview.com/	www.sayfiereview.com	None	center	high
ExtraNewsFeed	https://extranewsfeed.com	extranewsfeed.com	USA	left	mostly factual
Japan Times	https://www.japantimes.co.jp/	www.japantimes.co.jp	Japan	center	high
Tenth Amendment Center	https://tenthamendmentcenter.com	tenthamendmentcenter.com	USA	right	mixed
American Affairs Journal	https://americanaffairsjournal.org	americanaffairsjournal.org	USA	rightcenter	high
The Tennessee Star	http://tennesseestar.com/	tennesseestar.com	USA	right	mixed
Faith Family America	http://www.faithfamilyamerica.com	www.faithfamilyamerica.com	USA	rightcenter	high
Change.org	https://www.change.org/	www.change.org	None	left	high
Today Breaking News	https://www.chicagodaily.pro	www.chicagodaily.pro	Panama	extremeright	None
San Bernardino Sun	https://www.sbsun.com	www.sbsun.com	USA	rightcenter	high
Canadian Public Affairs Channel (CPAC)	https://www.cpac.ca/en/	www.cpac.ca	None	center	high
Uncle Sams Misguided Children	https://news.unclesamsmisguidedchildren.com/	news.unclesamsmisguidedchildren.com	USA	extremeright	questionable source
The Herald-Sun (Durham, North Carolina)	https://www.heraldsun.com	www.heraldsun.com	USA	center	high
La Repubblica	None	None	Italy	leftcenter	high
Conservapedia	https://www.conservapedia.com	www.conservapedia.com	USA	extremeright	mixed
Bellingham Herald	https://www.bellinghamherald.com/	www.bellinghamherald.com	USA	leftcenter	high
The Conservative Brief	https://www.theconservativebrief.com	www.theconservativebrief.com	Unknown	right	questionable source
The Virginian-Pilot	http://pilotonline.com/	pilotonline.com	None	leftcenter	high
The American Conservative	https://www.theamericanconservative.com	www.theamericanconservative.com	USA	rightcenter	high
Toledo Blade	http://www.toledoblade.com/	www.toledoblade.com	None	rightcenter	high
Roll Call	https://www.rollcall.com	www.rollcall.com	USA	center	very high
Web Daily	https://www.webdaily.com/	www.webdaily.com	None	extremeright	questionable source
National Interest	https://nationalinterest.org/	nationalinterest.org	USA	rightcenter	high
Loser.com	http://loser.com	loser.com	None	extremeleft	questionable source
Free Republic	http://www.freerepublic.com	www.freerepublic.com	USA	right	mixed
Statista	https://www.statista.com	www.statista.com	Germany	center	high
Eurasia Review	http://www.eurasiareview.com	www.eurasiareview.com	None	center	high
Political Ears	http://www.politicalears.com/	www.politicalears.com	None	extremeright	questionable source
Evil.News	https://www.evil.news/	www.evil.news	USA	extremeright	low
Vos Iz Neias	https://www.vosizneias.com	www.vosizneias.com	None	center	high
Greenville News	https://www.greenvilleonline.com/	www.greenvilleonline.com	USA	center	high
Sarasota Herald-Tribune	http://www.heraldtribune.com/	www.heraldtribune.com	USA	center	high
The Nation Pakistan	http://nation.com.pk/	nation.com.pk	None	rightcenter	high
Kyiv Post	None	None	Ukraine	leftcenter	mixed
Learn Progress	http://www.learnprogress.org/	www.learnprogress.org	None	extremeleft	questionable source
New York Times	https://www.nytimes.com/	www.nytimes.com	USA	leftcenter	high
End the Fed	http://endthefed.org/	endthefed.org	USA	right	low
Dawn	https://www.dawn.com/	www.dawn.com	Pakistan	leftcenter	high
Spiegel Online	http://www.spiegel.de/international/	www.spiegel.de	None	leftcenter	high
Fairness & Accuracy in Reporting (FAIR)	http://fair.org/	fair.org	USA	leftcenter	high
Right Alerts	http://rightalerts.com/	rightalerts.com	None	extremeright	questionable source
VDARE	http://www.vdare.com/	www.vdare.com	None	right	questionable source
Nation45	https://mygoogle.ca/	mygoogle.ca	None	extremeright	questionable source
Real Clear Politics	https://www.realclearpolitics.com	www.realclearpolitics.com	USA	rightcenter	mostly factual
Raw Story	https://www.rawstory.com/	www.rawstory.com	USA	left	mixed
Gizmodo	https://gizmodo.com	gizmodo.com	USA	left	high
FBNewsCycle	http://fbnewscycle.com/	fbnewscycle.com	Unknown	extremeright	low
The Resurgent	http://theresurgent.com/	theresurgent.com	None	right	mixed
Polipace	None	None	None	extremeleft	questionable source
TruthOrFiction.com	https://www.truthorfiction.com/	www.truthorfiction.com	None	center	very high
Queerty	https://www.queerty.com	www.queerty.com	None	left	high
Egyptian Streets	https://egyptianstreets.com/	egyptianstreets.com	None	leftcenter	mixed
Woke Sloth	https://wokesloth.com	wokesloth.com	USA	extremeleft	questionable source
Naples Daily News	https://www.naplesnews.com	www.naplesnews.com	USA	leftcenter	high
GovTrack	https://www.govtrack.us/	www.govtrack.us	None	center	very high
AutoStraddle	https://www.autostraddle.com/	www.autostraddle.com	None	left	high
PoliticsNote	http://politicsnote.com	politicsnote.com	None	right	mixed
Spinzon	http://spinzon.com/	spinzon.com	None	extremeright	questionable source
Asia Times	https://www.asiatimes.com	www.asiatimes.com	Hong King	center	high
Herald-Sun	http://www.heraldsun.com.au/	www.heraldsun.com.au	None	rightcenter	high
Ms. (Magazine)	http://www.msmagazine.com/	www.msmagazine.com	None	left	high
Ammoland	https://www.ammoland.com	www.ammoland.com	USA	right	mostly factual
Toronto Star	https://www.thestar.com/	www.thestar.com	None	leftcenter	high
Project Syndicate	https://www.project-syndicate.org/	www.project-syndicate.org	Czech Republic	leftcenter	high
Grist	http://grist.org/	grist.org	None	leftcenter	high
Press TV	http://www.presstv.com/	www.presstv.com	Iran	right	low
InfoGalactic	https://infogalactic.com	infogalactic.com	None	extremeright	questionable source
WRAL	http://www.wral.com/	www.wral.com	None	center	high
The Zero Hour	http://www.thisisthezerohour.com/	www.thisisthezerohour.com	None	leftcenter	high
BB4SP	http://bb4sp.com/	bb4sp.com	None	extremeright	low
The Hill	https://thehill.com/	thehill.com	USA	rightcenter	mostly factual
News Deeply	https://www.newsdeeply.com	www.newsdeeply.com	USA	leftcenter	high
The Quint	https://www.thequint.com/	www.thequint.com	India	rightcenter	mixed
Deshabhimani	https://www.deshabhimani.com/	www.deshabhimani.com	India	left	mixed
Judicial Watch	https://www.judicialwatch.org	www.judicialwatch.org	USA	extremeright	low
Asia Sentinel	https://www.asiasentinel.com/	www.asiasentinel.com	USA	leftcenter	mixed
CT Mirror	https://ctmirror.org/	ctmirror.org	USA	leftcenter	high
Red State Journalist	https://redstatejournalist.com	redstatejournalist.com	None	extremeright	questionable source
Common Dreams	https://www.commondreams.org/	www.commondreams.org	USA	left	high
The Courier-Mail (Australia)	http://www.couriermail.com.au/	www.couriermail.com.au	Australia	rightcenter	high
New York Amsterdam News	http://amsterdamnews.com	amsterdamnews.com	USA	left	high
Allied Progress	https://alliedprogress.org	alliedprogress.org	None	leftcenter	high
Truth Be Told	http://truthbetold.news/	truthbetold.news	None	center	high
Science Debate	http://sciencedebate.org/	sciencedebate.org	None	center	very high
Taipei Times	http://www.taipeitimes.com/	www.taipeitimes.com	None	center	high
Spiked Magazine	http://spiked-online.com/	spiked-online.com	United Kingdom	right	mixed
TheWrap	https://www.thewrap.com	www.thewrap.com	USA	leftcenter	mixed
APM Reports	https://www.apmreports.org/	www.apmreports.org	USA	leftcenter	high
Israel Hayom	http://www.israelhayom.com/site/today.php	www.israelhayom.com	None	rightcenter	high
Outside The Beltway	http://www.outsidethebeltway.com/	www.outsidethebeltway.com	None	leftcenter	high
Lebanon Daily News	https://www.ldnews.com/	www.ldnews.com	USA	center	high
News Channel 4 (KFOR.com)	http://kfor.com/	kfor.com	None	leftcenter	high
Metapedia	http://en.metapedia.org/wiki/Main_Page	en.metapedia.org	None	extremeright	questionable source
Life Decisions International	http://fightpp.org	fightpp.org	None	right	mixed
Hang the Bankers	https://hangthebankers.com/	hangthebankers.com	Unknown	extremeright	low
Resistance Media	http://www.resistancemedia.org/	www.resistancemedia.org	None	extremeright	mixed
AMAC (Association of Mature American Citizens)	https://amac.us/	amac.us	USA	right	mixed
Tea Party Patriots	http://www.teapartypatriots.org/	www.teapartypatriots.org	None	right	high
RealClearReligion	https://www.realclearreligion.org	www.realclearreligion.org	None	rightcenter	high
The Gateway Pundit	https://www.thegatewaypundit.com/	www.thegatewaypundit.com	USA	extremeright	low
ZootFeed	http://www.zootfeed.com/	www.zootfeed.com	None	extremeright	questionable source
Black Eye Politics	https://blackeyepolitics.com/	blackeyepolitics.com	Unknown	extremeright	low
Washington Pundit	https://thewashingtonpundit.com	thewashingtonpundit.com	USA	extremeright	low
The New Observer	http://newobserveronline.com/	newobserveronline.com	None	extremeright	questionable source
Omaha World-Herald	https://www.omaha.com/	www.omaha.com	USA	rightcenter	high
The Daily Gazette	https://dailygazette.com	dailygazette.com	USA	center	high
DC Alert	https://dcalert.com	dcalert.com	Unknown	extremeright	mixed
Reno Gazette Journal	https://www.rgj.com	www.rgj.com	USA	leftcenter	high
Peterson Institute for International Economics	https://piie.com/	piie.com	None	center	high
The RANTidote	http://therantidote.com/	therantidote.com	None	right	mixed
Kansas City Star	https://www.kansascity.com	www.kansascity.com	USA	leftcenter	high
Foreign Policy Initiative	http://www.foreignpolicyi.org/	www.foreignpolicyi.org	None	rightcenter	high
In Defence of Marxism	https://www.marxist.com/	www.marxist.com	None	left	high
Frontiers of Freedom	https://www.ff.org	www.ff.org	None	right	mixed
Times of South Africa (Times Live)	https://www.timeslive.co.za/	www.timeslive.co.za	None	rightcenter	mixed
Witherspoon Institute	https://www.thepublicdiscourse.com/	www.thepublicdiscourse.com	None	extremeright	questionable source
Conservative Post	https://conservativepost.com	conservativepost.com	USA	extremeright	low
Public Policy Polling (PPP)	http://www.publicpolicypolling.com/	www.publicpolicypolling.com	USA	center	high
The Japan News	http://the-japan-news.com/	the-japan-news.com	None	rightcenter	high
Fact / Myth	http://factmyth.com/	factmyth.com	USA	leftcenter	high
France Info	https://www.francetvinfo.fr/	www.francetvinfo.fr	France	leftcenter	high
Christianity Today	https://www.christianitytoday.com/	www.christianitytoday.com	USA	rightcenter	high
Public Interest Legal Foundation	https://publicinterestlegal.org/	publicinterestlegal.org	USA	right	mixed
Grit Post	https://gritpost.com	gritpost.com	USA	left	high
The Oklahoman	http://www.oklahoman.com/live	www.oklahoman.com	USA	rightcenter	high
Politics That Work	http://politicsthatwork.com/	politicsthatwork.com	USA	leftcenter	mostly factual
Oath Keepers	https://www.oathkeepers.org	www.oathkeepers.org	USA	extremeright	low
Fake Hate Crimes	http://fakehatecrimes.org	fakehatecrimes.org	USA	right	mostly factual
The China Post	http://www.chinapost.com.tw/	www.chinapost.com.tw	None	center	high
Whitehouse.gov	https://www.whitehouse.gov	www.whitehouse.gov	USA	right	mostly factual
Mediaite	https://www.mediaite.com/	www.mediaite.com	USA	left	mixed
RTE (Radio Television of Ireland)	https://www.rte.ie	www.rte.ie	None	center	high
Vox	https://www.vox.com/	www.vox.com	USA	left	mostly factual
Conservative Fighters	http://conservativefighters.com/	conservativefighters.com	None	extremeright	low
The Ron Paul Institute	http://www.ronpaulinstitute.org/	www.ronpaulinstitute.org	None	right	mixed
National Economics Editorial	http://www.nationaleconomicseditorial.com/	www.nationaleconomicseditorial.com	None	extremeright	questionable source
Activist Mommy	https://activistmommy.com	activistmommy.com	USA	extremeright	low
Earth Institute	http://earth.columbia.edu/sections/view/9	earth.columbia.edu	USA	leftcenter	high
Muncie Voice	http://www.muncievoice.com/	www.muncievoice.com	USA	leftcenter	high
Metro	http://www.metro.us/	www.metro.us	None	leftcenter	high
Wall Street Journal	https://www.wsj.com/	www.wsj.com	USA	rightcenter	mostly factual
High Country News	https://www.hcn.org	www.hcn.org	USA	leftcenter	high
The Journal News	http://www.lohud.com/	www.lohud.com	None	leftcenter	high
Human Rights Campaign (HRC)	https://www.hrc.org	www.hrc.org	USA	left	high
BlabberBuzz	https://www.blabber.buzz	www.blabber.buzz	USA	right	mixed
Global Times (China)	http://www.globaltimes.cn/	www.globaltimes.cn	China	left	mixed
Civitas Institute	https://www.nccivitas.org/	www.nccivitas.org	USA	right	mixed
Consortium News	https://consortiumnews.com/	consortiumnews.com	USA	leftcenter	mostly factual
The Indian Express	http://indianexpress.com/	indianexpress.com	None	center	high
Global Info Today	http://globalinfotoday.com/	globalinfotoday.com	None	extremeright	low
The Daily Bell	http://www.thedailybell.com/	www.thedailybell.com	USA	right	questionable source
Korean Central News Agency	http://www.kcna.kp/	www.kcna.kp	North Korea	extremeleft	questionable source
National Journal	https://www.nationaljournal.com/	www.nationaljournal.com	USA	center	high
Truth Out	https://truthout.org/	truthout.org	USA	left	mixed
Conservative Institute	https://www.conservativeinstitute.org	www.conservativeinstitute.org	USA	right	mostly factual
Political Wire	https://politicalwire.com	politicalwire.com	USA	center	high
NationMaster	http://www.nationmaster.com	www.nationmaster.com	None	center	very high
CP24	https://www.cp24.com/	www.cp24.com	Canada	center	high
The Morning Star	https://morningstaronline.co.uk/	morningstaronline.co.uk	United Kingdom	left	mostly factual
Gainesville Sun	https://www.gainesville.com	www.gainesville.com	USA	center	high
Just Security	https://www.justsecurity.org/	www.justsecurity.org	USA	leftcenter	high
Advocates for Self Government	https://www.theadvocates.org/	www.theadvocates.org	USA	rightcenter	mostly factual
Calgary Sun	https://calgarysun.com/	calgarysun.com	Canada	right	mostly factual
The Asbury Park Press	https://www.app.com	www.app.com	USA	leftcenter	high
World Policy Institute	http://www.worldpolicy.org/	www.worldpolicy.org	None	leftcenter	high
International Energy Agency (IEA)	https://www.iea.org/	www.iea.org	None	center	high
The City	https://thecity.nyc/	thecity.nyc	USA	leftcenter	high
The Christian Left	http://www.thechristianleft.org/	www.thechristianleft.org	None	leftcenter	high
Minneapolis Star Tribune	http://www.startribune.com/	www.startribune.com	USA	leftcenter	high
The Unz Review	http://www.unz.com/	www.unz.com	USA	extremeright	low
Geller Report	https://gellerreport.com/	gellerreport.com	USA	extremeright	low
Hudson Institute	https://www.hudson.org/	www.hudson.org	USA	right	high
Quadrant Magazine	https://quadrant.org.au	quadrant.org.au	None	right	mixed
Econofact	https://econofact.org/	econofact.org	USA	leftcenter	high
Conservative Base	https://conservativebase.com/	conservativebase.com	USA	right	mixed
Offgrid Survival	https://offgridsurvival.com/	offgridsurvival.com	None	right	mixed
Staten Island Advance	http://www.silive.com/	www.silive.com	None	leftcenter	high
Mother Jones	https://www.motherjones.com/	www.motherjones.com	USA	leftcenter	high
State Fort Daily	http://statefort.com	statefort.com	None	extremeright	questionable source
Shadow Proof	https://shadowproof.com	shadowproof.com	None	left	high
Berkeleyside	https://www.berkeleyside.com/	www.berkeleyside.com	USA	leftcenter	high
Pew Research	https://www.pewresearch.org/	www.pewresearch.org	USA	center	very high
Merion West	http://merionwest.com/	merionwest.com	None	center	high
The Daily News (Longview)	https://tdn.com	tdn.com	USA	center	high
Citizens for Responsibility and Ethics in Washington (CREW)	https://www.citizensforethics.org	www.citizensforethics.org	None	leftcenter	high
USSA News	http://ussanews.com	ussanews.com	USA	right	mixed
DCReport.org	https://www.dcreport.org/	www.dcreport.org	USA	leftcenter	mixed
Vera Files	http://verafiles.org	verafiles.org	None	center	very high
Cerno (Cernovich.com)	http://cernovich.com	cernovich.com	USA	extremeright	mixed
Kaiser Family Foundation	http://kff.org/	kff.org	USA	center	high
Canadian Dimension	https://canadiandimension.com/	canadiandimension.com	Canada	left	mostly factual
The West Australian	https://thewest.com.au/	thewest.com.au	None	rightcenter	high
WSAZ News Channel	https://www.wsaz.com/	www.wsaz.com	USA	center	high
MLive (Michigan - Booth Newspapers)	http://www.mlive.com/	www.mlive.com	None	center	high
The Center for Economic and Policy Research	http://cepr.net	cepr.net	USA	leftcenter	high
Merry Jane	https://www.merryjane.com/	www.merryjane.com	None	left	high
Fort Worth Star-Telegram	https://www.star-telegram.com/	www.star-telegram.com	USA	rightcenter	high
American Legislative Exchange Council (ALEC)	https://www.alec.org	www.alec.org	None	right	mixed
Human Events	https://humanevents.com/	humanevents.com	USA	right	mixed
Anderson Independent Mail	https://www.independentmail.com/	www.independentmail.com	USA	center	high
Lompoc Record	http://lompocrecord.com/	lompocrecord.com	USA	center	high
DML News	https://dmlnews.com/	dmlnews.com	USA	right	mixed
En Volve	http://en-volve.com/	en-volve.com	None	extremeright	very low
Patriotic Millionaires	https://patrioticmillionaires.org	patrioticmillionaires.org	None	leftcenter	high
NewsNow (UK)	http://www.newsnow.co.uk/h/	www.newsnow.co.uk	None	center	mixed
Asheville Citizen-Times	https://www.citizen-times.com/	www.citizen-times.com	None	leftcenter	high
Mercatornet	https://www.mercatornet.com	www.mercatornet.com	None	right	high
Big League Politics	https://bigleaguepolitics.com/	bigleaguepolitics.com	USA	extremeright	low
Stars and Stripes	https://www.stripes.com/	www.stripes.com	USA	center	high
Undark	https://undark.org	undark.org	None	center	high
Foundation for Defense of Democracies	http://www.defenddemocracy.org	www.defenddemocracy.org	USA	right	high
Canadian Taxpayers Federation	https://www.taxpayer.com/	www.taxpayer.com	None	rightcenter	high
No Labels	https://www.nolabels.org/	www.nolabels.org	None	center	high
University Business	https://www.universitybusiness.com/	www.universitybusiness.com	None	leftcenter	high
Public Radio International (PRI)	https://www.pri.org/	www.pri.org	USA	leftcenter	very high
B.T. Denmark	https://www.bt.dk/	www.bt.dk	Denmark	rightcenter	mostly factual
Forbes	https://www.forbes.com	www.forbes.com	USA	rightcenter	mostly factual
Columbus Dispatch	https://www.dispatch.com/	www.dispatch.com	USA	rightcenter	high
WPEC - CBS12.com	https://cbs12.com	cbs12.com	USA	rightcenter	high
CNN	https://edition.cnn.com/	edition.cnn.com	USA	left	mixed
The Dispatch	https://thedispatch.com/	thedispatch.com	USA	rightcenter	high
The Providence Journal	http://www.providencejournal.com/	www.providencejournal.com	None	leftcenter	high
The Young Turks	https://tytnetwork.com/	tytnetwork.com	USA	left	mostly factual
Studio News Network	https://studionewsnetwork.com	studionewsnetwork.com	None	right	None
Verrit	https://verrit.com	verrit.com	None	left	high
NMWS.us	http://www.nmws.us	www.nmws.us	None	extremeleft	questionable source
Moscow Times	https://themoscowtimes.com/	themoscowtimes.com	Netherlands	leftcenter	high
Helsingin Sanomat	https://www.hs.fi/	www.hs.fi	Finland	leftcenter	high
AjuaNews.com	https://ajuanews.com/	ajuanews.com	Unknown	extremeright	very low
Above the Law	https://abovethelaw.com/	abovethelaw.com	USA	leftcenter	high
Axios	https://www.axios.com/	www.axios.com	USA	leftcenter	high
